CompanyID,Company,Val_B_M,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,fund_B_M,Funding,FundinginMillions,Select Investors
533,MX Technologies,B,2,1/13/21,Fintech,Lehi,United States,North America,1/1/10,M,450M,450,"Point72 Ventures, Pelion Venture Partners, Commerce Ventures"
534,PayFit,B,2,1/6/22,Fintech,London,United Kingdom,Europe,1/1/16,M,496M,496,"Accel, frst, Kima Ventures"
535,ReCharge,B,2,5/6/21,Fintech,Los Angeles,United States,North America,1/1/17,M,277M,277,"ICONIQ Growth, Bain Capital Ventures, Summit Partners"
536,Roofstock,B,2,3/10/22,Fintech,Oakland,United States,North America,1/1/15,M,365M,365,"Khosla Ventures, Bain Capital Ventures, Lightspeed Venture Partners"
537,Urban Company,B,2,4/27/21,E-commerce & direct-to-consumer,Gurgaon,India,Asia,1/1/14,M,371M,371,"VY Capital, Accel, Elevation Capital"
538,Rokt,B,2,12/16/21,Internet software & services,New York,United States,North America,1/1/12,M,487M,487,"Square Peg Capital, TDM Growth Partners, Tiger Global Management"
539,Starling Bank,B,2,3/8/21,Fintech,London,United Kingdom,Europe,1/1/14,M,791M,791,"JTC Group, Qatar Investment Authority, Fidelity Investment"
540,Ankorstore,B,2,1/10/22,E-commerce & direct-to-consumer,Paris,France,Europe,1/1/19,M,422M,422,"Global Founders Capital, Aglae Ventures, Alven Capital"
541,4Paradigm,B,2,12/19/18,Artificial intelligence,Beijing,China,Asia,1/1/15,M,1B,1000,"Sequoia Capital China, China Construction Bank, Bank of China"
542,Advance Intelligence Group,B,2,9/23/21,Artificial intelligence,,Singapore,Asia,1/1/16,M,536M,536,"Vision Plus Capital, GSR Ventures, ZhenFund"
543,Aiven,B,2,10/18/21,Internet software & services,Helsinki,Finland,Europe,1/1/16,M,210M,210,"Institutional Venture Partners, Atomico, Earlybird Venture Capital"
544,Akulaku,B,2,2/15/22,E-commerce & direct-to-consumer,Jakarta,Indonesia,Asia,1/1/14,M,438M,438,"DCM Ventures, IDG Capital, Siam Commercial Bank"
545,Apeel Sciences,B,2,5/26/20,Other,Goleta,United States,North America,1/1/12,M,640M,640,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz"
546,AppsFlyer,B,2,1/21/20,Mobile & telecommunications,San Francisco,United States,North America,1/1/11,M,293M,293,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital"
547,Avant,B,2,12/17/12,Artificial intelligence,Chicago,United States,North America,1/1/12,M,658M,658,"RRE Ventures, Tiger Global, August Capital"
548,Aviatrix,B,2,9/8/21,Internet software & services,Santa Clara,United States,North America,1/1/14,M,341M,341,"Ignition Partners, Formation 8, CRV"
549,BlaBlaCar,B,2,9/16/15,Auto & transportation,Paris,France,Europe,1/1/06,M,449M,449,"Accel Partners, Index Ventures, Insight Venture Partners"
550,Black Sesame Technologies,B,2,9/22/21,Artificial intelligence,Shanghai,China,Asia,1/1/16,M,115M,115,"Northern Light Venture Capital, Xiaomi, FutureX Capital"
551,Bunq,B,2,6/18/21,Fintech,Amsterdam,Netherlands,Europe,1/1/13,M,281M,281,Undisclosed
552,Calm,B,2,2/6/19,Consumer & retail,San Francisco,United States,North America,1/1/12,M,218M,218,"Insight Venture Partners, TPG Growth, Sound Ventures"
553,Chipper Cash,B,2,5/31/21,Fintech,San Francisco,United States,North America,1/1/17,M,302M,302,"Deciens Capital, Bezos Expeditions, 500 Startups"
554,Clearco,B,2,4/20/21,Fintech,Toronto,Canada,North America,1/1/15,M,433M,433,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners"
555,ClickHouse,B,2,10/28/21,Data management & analytics,Portola Valley,United States,North America,1/1/21,M,300M,300,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital"
556,Clip,B,2,6/10/21,Fintech,Mexico City,Mexico,North America,1/1/12,M,381M,381,"Alta Ventures Mexico, General Atlantic, SoftBank Group"
557,Cloudinary,B,2,2/15/22,Internet software & services,Santa Clara,United States,North America,1/1/11,M,100M,100,"Blackstone, Bessemer Venture Partners"
558,Deliverr,B,2,11/22/21,"Supply chain, logistics, & delivery",San Francisco,United States,North America,1/1/17,M,456M,456,"8VC, Activant Capital, GLP Capital Partners"
559,Divvy Homes,B,2,8/13/21,Fintech,San Francisco,United States,North America,1/1/17,M,370M,370,"Andreessen Horowitz, Caffeinated Capital, SciFi VC"
560,Dremio,B,2,1/6/21,Data management & analytics,Santa Clara,United States,North America,1/1/15,M,410M,410,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners"
561,Druva,B,2,6/20/19,Data management & analytics,Sunnyvale,United States,North America,1/1/07,M,475M,475,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital"
562,Everlaw,B,2,3/10/20,Internet software & services,Oakland,United States,North America,1/1/10,M,299M,299,"K9 Ventures, Menlo Ventures, Andreessen Horowitz"
563,Exotec,B,2,1/17/22,Hardware,Croix,France,Europe,1/1/15,M,450M,450,"Breega Capital, Iris Capital, 360 Capital Partners"
564,Formlabs,B,2,8/1/18,Hardware,Somerville,United States,North America,1/1/11,M,251M,251,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
565,Guoquan Shihui,B,2,3/17/21,Consumer & retail,Shanghai,China,Asia,1/1/17,M,523M,523,"Tiantu Capital, CMB International Capital, Vision Knight Capital"
566,Hive,B,2,4/21/21,Artificial intelligence,San Francisco,United States,North America,1/1/13,M,121M,121,"Tomales Bay Capital, Bain & Company, General Catalyst"
567,HuiMin,B,2,9/5/16,E-commerce & direct-to-consumer,Beijing,China,Asia,1/1/13,M,517M,517,"Zheshang Venture Capital, GP Capital, Western Capital Management"
568,ISN,B,2,12/17/20,"Supply chain, logistics, & delivery",Dallas,United States,North America,1/1/01,,,,Blackstone
569,Iterable,B,2,6/15/21,Internet software & services,San Francisco,United States,North America,1/1/13,M,342M,342,"CRV, Blue Cloud Ventures, Index Ventures"
570,Kajabi,B,2,5/4/21,Internet software & services,Irvine,United States,North America,1/1/10,M,550M,550,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity"
571,Kaseya,B,2,3/27/19,Cybersecurity,Miami,United States,North America,1/1/00,M,545M,545,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund"
572,Keep,B,2,5/19/20,Mobile & telecommunications,Beijing,China,Asia,1/1/14,M,614M,614,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital"
573,KRY,B,2,4/27/21,Health,Stockholm,Sweden,Europe,1/1/14,M,569M,569,"Index Ventures, Creandum, Accel"
574,Loggi,B,2,6/5/19,"Supply chain, logistics, & delivery",Sao Paulo,Brazil,South America,1/1/13,M,507M,507,"Qualcomm Ventures, SoftBank Group, Monashees+"
575,LTK,B,2,11/22/21,Internet software & services,Dallas,United States,North America,1/1/11,M,315M,315,"SoftBank Group, Maverick Capital"
576,Lunar,B,2,7/12/21,Fintech,Aarhus,Denmark,Europe,1/1/15,M,448M,448,"SEED Capital, Greyhound Capital, Socii Capital"
577,Mafengwo,B,2,5/23/19,Travel,Beijing,China,Asia,1/1/10,M,503M,503,"Qiming Venture Partners, Capital Today, General Atlantic"
578,Magic Leap,B,2,10/21/14,Hardware,Plantation,United States,North America,1/1/10,M,3B,3000,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
579,Misfits Market,B,2,4/21/21,E-commerce & direct-to-consumer,Pennsauken,United States,North America,1/1/18,M,527M,527,"Accel, D1 Capita Partners, Greenoaks Capital Management"
580,Modern Treasury,B,2,10/6/21,Fintech,San Francisco,United States,North America,1/1/18,M,183M,183,"Benchmark, Altimeter Capital, Quiet Capital"
581,MURAL,B,2,7/20/21,Internet software & services,San Francisco,United States,North America,1/1/11,M,192M,192,"Insight Partners, Tiger Global Management, Gradient Ventures"
582,Mynt,B,2,11/1/21,Fintech,Taguig City,Philippines,Asia,1/1/15,M,475M,475,"Insight Partners, Warburg Pincus, Ayala Corporation"
583,Neo4j,B,2,6/17/21,Data management & analytics,San Mateo,United States,North America,1/1/07,M,408M,408,"Eight Roads Ventures, One Peak Partners, Creandum"
584,Netlify,B,2,11/17/21,Internet software & services,San Francisco,United States,North America,1/1/14,M,202M,202,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures"
585,OCSiAl,B,2,3/4/19,Other,Leudelange,Luxembourg,Europe,1/1/12,M,285M,285,"A&NN, Rusnano"
586,Opay,B,2,8/23/21,Fintech,Lagos,Nigeria,Africa,1/1/18,M,570M,570,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China"
587,Pipe,B,2,5/19/21,Fintech,Miami,United States,North America,1/1/19,M,566M,566,"next47, MaC Venture Capital, FinVC"
588,Preferred Networks,B,2,5/17/18,Artificial intelligence,Tokyo,Japan,Asia,1/1/14,M,147M,147,"Toyota Motor Corporation, Mizuho Financial Group, FANUC"
